spruch,explanation,category,source,rating,id
"Chirurgen tragen Gummihandschuhe, um keine Fingerabdrücke zu hinterlassen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"112"
"Cogito, ergo Husum.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"113"
"Computer lösen die Probleme, die wir ohne sie nicht hätten.",,"Technik","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"114"
"Da da da - du hast die Gicht, ich hab sie nicht.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"115"
"Da sagte die Frau als es draußen polterte: Das ist mein Ernst.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"116"
"Da wendet sich der hohe Gast und stürzt davon in wilder Hast.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"117"
"Damit wir andere Sterne sehen, muss unsere Sonne untergehen.",,"Weltall","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"118"
"Darf ich bitten oder tanzen wir zuerst?",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"119"
"Das Auge sauniert mit.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"120"
"Das beliebteste Haustier der Deutschen ist und bleibt das halbe Hähnchen.",,"Tiere,Food,Alman","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","5","121"
"Das Chaos sei willkommen - die Ordnung hat versagt.",,"Anarchie","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"122"
"Das Denken sollte man den Pferden überlassen. Sie sind beschlagen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"123"
"Das Dilemma der DKP: Mehr Mitglieder als Wähler.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"124"
"Das Dreieck wandert, wandert, wandert, bis dass es in der Gosse landet.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"125"
"Das einzig Echte an manchen Menschen ist ihre Falschheit.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"126"
"Das einzige, was Reiche nicht haben, ist kein Geld.",,"Antikapitalismus","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"127"
"Das ewig Weibliche zieht uns hinunter und hält uns frisch, gesund und munter.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"128"
"Das Faustrecht ist nicht abgeschafft; es ist nur in die Ellenbogen umgezogen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"129"
"Das Fleisch war billig, und der Geist war willig.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"130"
"Das größte Maul und kleinste Hirn, die haben meist dieselbe Stirn.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"131"
"Das Hemd hemmt den Politiker weniger als die weiße Weste.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"132"
"Das höchste Glück der Pferde ist der Reiter auf der Erde."," (gesehen in Facebook, 11.5.2k14)","Tiere,Sport","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"133"
"Das jüngste Gericht wird sich vertagen müssen, weil sich die Frauen verspäten.",,"Sexismus","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"134"
"Das Leben gibt's gratis, der Rest ist käuflich.",,"Life finds a way,Finanzen","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"135"
"Das Leben ist viel zu kurz, um eine langes Gesicht zu ziehen.",,"Life finds a way","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"136"
"Das nehm ich dir übel, sprach der Dübel, und verschwand in der Wand, wo ihn niemand wiederfand.",,"Reim","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"137"
"Das Sterben ist nicht so schlimm, aber man fühlt sich am nächsten Tag so kaputt.",,"Tod","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"138"
"Dem Alltagsstress kann man entgehen, vermeidet man es aufzustehen.",,"Lazy Town","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"139"
"Dem Ingenieur ist nichts zu schwör: Wenn er nichts weiß, dann nimmt er ein Relais.",,"Technik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"140"
"Dem Landsmann tut’s das Herz zerreißen, sieht er das Huhn auf’s Sofa scheißen.",,"Tiere,Pipikaka","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"141"
"Dem Philosoph ist nichts zu doof.",,"Philosophie","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"142"
"Demonstrationen von Demokraten statt Nationen von Nazis.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"143"
"Den Blick in die Welt kann eine Zeitung versperren.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"144"
"Denen habe ich's gegeben, sagte der Steuerzahler, als er das Finanzamt verließ.",,"Alman,Bürokratie","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","4","145"
"Denken ist Arbeit, Arbeit ist Energie, und Energie soll man sparen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"146"
"Der Apfel fällt nicht weit vom Zank.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"147"
"Der Arbeit kann man leicht entgehen, vermeidet man es aufzustehen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"148"
"Der Bauer keine Hemmung kennt, das Gras er von der Wiese trennt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"149"
"Der Bauer macht ein Bäuerlein, es muss nicht mit der Bäuerin sein.",,"Sexualität","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"150"
"Der Bauer pflügt, der Bauer eggt, derweil im Stall das Vieh verreckt. ","(ZDF-Morgenmagazin, Elings Morgengrauen, 27.6.2k7)","Tiere,Tod","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"151"
"Der Baum hat Äste, das ist das beste, denn wär' er kahl, dann wär's ein Pfahl.",,,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"152"
